position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
de,"Palm Bay, Florida","",78,240,4.5,5,,1,Florida,Joe Cohen,2003
wr,"Tampa, Florida",Jefferson,78,180,4.4,5,,1,Florida,Andre Caldwell,2003
de,"Denton, Texas",Ryan,78,220,4.5,5,,1,Florida,Jarvis Moss,2003
dt,"Irvington, New Jersey","",78,319,4.9,5,,1,Rutgers,Nathaniel Robinson,2003
rb,"Concord, California",De La Salle,65,190,4.4,4,,1,UCLA,Maurice Drew,2003
ath,"Ventura, California",St. Bonaventure,78,215,4.4,5,,,USC,Whitney Lewis,2003
rb,"San Diego, California",Helix,78,180,4.4,5,,1,USC,Reggie Bush,2003
qb,"Monroe, Louisiana",Neville,78,210,4.6,4,,1,Mississippi,Robert Lane,2003
lb,"Tallahassee, Florida",North Florida Christian,78,220,4.5,5,,1,Florida State,Ernie Sims,2003
te,"Alief, Texas",Elsik,78,260,4.7,5,,1,Texas,Tony Hills Jr.,2003
ol,"Jasper, Texas","",78,275,4.9,5,,1,Texas A&M,Jorrie Adams,2003
lb,"Tyler, Texas",Tyler Lee,78,220,4.5,4,,1,Texas A&M,Justin Warren,2003
de,"Hernando, Mississippi","",78,288,4.8,5,,1,Mississippi State,Deljuan Robinson,2003
ol,"Altamonte Springs, Florida",Lake Brantley,78,267,4.9,4,,1,Virginia,Jordy Lipsey,2003
qb,"Danville, California",Monte Vista,78,200,4.6,5,,1,Miami (FL),Kyle Wright,2003
ol,"Euless, Texas",Trinity School,78,335,4.9,5,,1,Brigham Young,Ofa Mohetau,2003
db,"Kennesaw, Georgia",Harrison,78,185,4.3,5,,1,Georgia,Paul Oliver,2003
rb,"Sacramento, California",Natomas,78,225,4.7,4,,1,Stanford,Emeka Nnoli,2003
db,"Warren, Ohio",Harding,78,210,4.6,5,,1,Michigan,Prescott Burgess,2003
k,"Douglas, Georgia",Coffee County,65,160,,3,,1,Florida State,Chase Goggans,2003
db,"Jacksonville, Florida",Ed White,78,185,4.4,5,,2,Florida,Dee Webb,2003
wr,"Hoover, Alabama","",78,200,4.4,5,,2,Florida,Chad Jackson,2003
qb,"Charlotte, North Carolina",Independence,78,205,4.6,4,,2,Florida,Chris Leak,2003
te,"Wayne Hills, New Jersey","",78,235,4.7,5,,2,Miami (FL),Greg Olsen,2003
rb,"Tuscaloosa, Alabama",Tuscaloosa County,78,245,4.7,4,,2,Alabama,LeRon McClain,2003
de,"Massillon, Ohio",Washington,78,230,4.6,4,,2,Michigan,Shawn Crable,2003
ath,"Louisville, Kentucky",Male,78,225,4.5,4,,,Louisville,Michael Bush,2003
ol,"Mission Viejo, California","",78,275,5.1,4,,2,USC,Drew Radovich,2003
lb,"Highland, Michigan",Milford,78,225,4.5,4,,2,Michigan,Jim Presley,2003
rb,"Tampa, Florida",Jefferson,65,190,4.4,4,,2,Georgia Tech,Rashaun Grant,2003
de,"Portage, Wisconsin","",78,255,4.8,5,,2,Wisconsin,Justin Ostrowski,2003
dt,"Decatur, Illinois",Decatur MacArthur,78,275,4.8,4,,2,Oklahoma,Lawrence Dampeer,2003
qb,"San Leandro, California",San Leandro,78,180,4.5,4,,2,Oregon,Dennis Dixon,2003
rb,"Stone Mountain, Georgia",Stephenson,78,190,4.4,5,,2,Georgia,Kregg Lumpkin,2003
db,"Jackson, Mississippi",Provine,78,205,4.5,5,,2,Mississippi State,Quinton Culberson,2003
ol,"River Ridge, Louisiana",John Curtis,78,296,5.0,4,,2,LSU,Jerry Sevin,2003
ol,"Huntersville, North Carolina",North Mecklenburg,78,350,5.1,5,,2,North Carolina State,Derek Morris,2003
lb,"Brandywine, Maryland",Gwynn Park,78,230,4.7,5,,2,Maryland,Wesley Jefferson,2003
ol,"Downers Grove, Illinois",Downers Grove South,78,290,5.3,5,,2,Illinois,Martin O'Donnell,2003
k,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,190,4.7,3,,2,Stanford,Jay Ottovegio,2003
ath,"Woodland Hills, California",Taft,65,190,4.4,4,,,USC,Steve Smith,2003
de,"Baltimore, Maryland",Gilman School,78,245,4.5,5,,3,Notre Dame,Victor Abiamiri,2003
de,"Tyler, Texas",John Tyler,78,227,4.7,4,,3,Texas,Tim Crowder,2003
lb,"Saginaw, Michigan",Saginaw,78,245,4.7,5,,3,Michigan,LaMarr Woodley,2003
k,"Georgetown, Texas",Georgetown,78,180,4.6,3,,3,Colorado,Mason Crosby,2003
wr,"Tulsa, Oklahoma",Booker T. Washington,78,200,4.4,5,,3,Tennessee,Robert Meachem,2003
rb,"Lexington, South Carolina","",78,200,4.6,5,,3,South Carolina,Demetris Summers,2003
qb,"Harrisburg, Pennsylvania",Bishop McDevitt,78,230,4.6,4,,3,North Carolina State,Marcus Stone,2003
rb,"Little Rock, Arkansas",Mills,78,235,4.6,4,,3,Arkansas,Farod Jackson,2003
ol,"Lauderdale, Florida",Blanche Ely,78,320,5.0,4,,3,Miami (FL),Andrew Bain,2003
qb,"Huntington Beach, California",Edison,78,215,4.9,4,,3,Oklahoma,Tommy Grady,2003
