gid,abbr,name,lat,lon
29173,AK,Coldfoot,+67.2474514,-150.1080508
29214,AK,Oscarville,+60.7234283,-161.7875078
29212,AK,Covenant Life,+59.3975050,-136.1230020
29213,AK,Yakutat,+59.5635878,-139.6061905
29219,AK,Kipnuk,+59.9364517,-164.0617513
29030,AK,St. Mary's,+62.0652861,-163.2494788
29216,AK,Lime Village,+61.3304812,-155.2383280
29215,AK,Newtok,+60.9350524,-164.6459006
29218,AK,Kongiganak,+59.9644575,-162.8831033
29217,AK,Kwigillingok,+59.8763155,-163.1583365
29272,AK,Nikolski,+53.0078630,-168.7185016
29250,AK,Skagway,+59.4643604,-135.2751506
29266,AK,Pedro Bay,+59.7821613,-154.1079305
29226,AK,King Salmon,+58.7350114,-156.5291862
29221,AK,Crooked Creek,+61.7968531,-158.0810662
29225,AK,Naknek,+58.7874092,-156.8923703
29223,AK,Akiachak,+60.9161621,-161.4046954
29224,AK,South Naknek,+58.6579733,-156.9898416
29265,AK,Levelock,+59.0802102,-156.9052293
29252,AK,Port Protection,+56.3318805,-133.6064199
29251,AK,Whale Pass,+56.1266992,-133.1976855
29254,AK,Naukati Bay,+55.8772567,-133.2034233
29263,AK,Ivanof Bay,+55.9181993,-159.4932984
29253,AK,Point Baker,+56.3481317,-133.6167942
29264,AK,Kokhanok,+59.4133381,-154.7474306
29271,AK,Attu Station,+52.8822183,+173.2557134
29255,AK,Metlakatla,+55.1146989,-131.5557262
29261,AK,Igiugig,+59.3012621,-155.8610168
29256,AK,Hyder,+55.9833128,-130.0418415
29260,AK,Chignik Lake,+56.2719692,-158.7891075
29257,AK,Hollis,+55.5184905,-132.7447917
29259,AK,Chignik Lagoon,+56.3046229,-158.4985105
29270,AK,Ugashik,+57.6475267,-156.9948993
29267,AK,Perryville,+55.9307495,-159.1467877
29262,AK,Iliamna,+59.7838277,-154.8705230
29269,AK,Port Alsworth,+60.1578492,-154.3406085
29234,AK,Red Dog Mine,+68.0644112,-162.8668688
29268,AK,Pope-Vannoy Landing,+59.5706021,-154.4472363
29275,AK,Chicken,+64.0876576,-141.8281295
29280,AK,Eagle Village,+64.7433826,-141.1138254
29274,AK,Big Delta,+64.1566479,-145.7409222
29038,AK,Gambell,+63.7772011,-171.7257101
29277,AK,Dot Lake,+63.5964865,-144.2836185
29276,AK,Deltana,+63.7896244,-145.3110009
29031,AK,Kaktovik,+70.1212069,-143.6295306
29279,AK,Dry Creek,+63.6266379,-144.6391940
29278,AK,Dot Lake Village,+63.6622624,-144.0160143
29284,AK,Northway Junction,+63.0241203,-141.7912516
29289,AK,Whitestone,+64.1528376,-145.9063852
29283,AK,Northway,+62.9598341,-141.8373954
29282,AK,Healy Lake,+64.0104390,-144.6786618
29281,AK,Fort Greely,+63.9000846,-145.5941023
29288,AK,Tok,+63.3288523,-143.0375432
29287,AK,Tetlin,+63.1667165,-142.5544964
29286,AK,Tanacross,+63.3277899,-143.4910658
29285,AK,Northway Village,+62.9818916,-141.9269493
29032,AK,Nuiqsut,+70.2171016,-150.9955451
29068,AK,Port Heiden,+56.9641768,-158.5806348
29064,AK,Egegik,+58.2051475,-157.5219777
28961,AK,Kaltag,+64.3138233,-158.7797265
28960,AK,Huslia,+65.7192678,-156.2970718
29249,AK,Nelson Lagoon,+55.8369746,-161.6353388
28936,AK,Hoonah,+58.1224574,-135.4318555
28962,AK,Koyukuk,+64.9022490,-157.6943242
28935,AK,Angoon,+57.4407168,-134.4777118
28937,AK,Pelican,+57.9598145,-136.2170390
28963,AK,McGrath,+62.9380771,-155.5485559
28949,AK,Homer,+59.6399849,-151.5112337
29084,AK,Game Creek,+58.0501048,-135.5125475
28942,AK,Whittier,+60.7766828,-148.6646423
28938,AK,Tenakee Springs,+57.7900544,-135.1354459
28941,AK,Valdez,+61.0833672,-146.3202839
28969,AK,Tanana,+65.1845551,-152.0546429
28976,AK,Bethel,+60.7929130,-161.7934051
28948,AK,Kachemak,+59.6741540,-151.4373679
28947,AK,Kenai,+60.5622743,-151.2079714
28939,AK,Gustavus,+58.4297118,-135.7706691
28946,AK,Seldovia,+59.4397147,-151.7117356
28944,AK,Soldotna,+60.4853176,-151.0690145
28943,AK,Anderson,+64.3096341,-149.1629188
28940,AK,Cordova,+60.5301380,-145.6420649
28957,AK,Grayling,+62.8960427,-160.1129605
28945,AK,Seward,+60.1247863,-149.3915808
28990,AK,Toksook Bay,+60.5289600,-165.1058359
28950,AK,North Pole,+64.7527282,-147.3626554
28953,AK,Anvik,+62.6309951,-160.2137255
28952,AK,Allakaket,+66.5645439,-152.6498075
28951,AK,Fairbanks,+64.8365307,-147.6517447
28980,AK,Goodnews Bay,+59.1287126,-161.5756562
28964,AK,Nenana,+64.5379033,-149.0718512
28965,AK,Nikolai,+62.9985203,-154.3745674
28956,AK,Galena,+64.7397013,-156.8761722
28955,AK,Fort Yukon,+66.5876075,-145.2291919
28954,AK,Bettles,+66.9063183,-151.5377372
28989,AK,Quinhagak,+59.7554407,-161.8997964
28972,AK,Houston,+61.6165147,-149.7717694
28966,AK,Nulato,+64.6898721,-158.2837696
28992,AK,Ambler,+67.1006570,-157.8478028
29083,AK,Elfin Cove,+58.1911751,-136.3125245
28991,AK,Upper Kalskag,+61.5391395,-160.3487161
28967,AK,Ruby,+64.7223597,-155.5014326
28968,AK,Shageluk,+62.6668007,-159.5314242
29050,AK,Wales,+65.6141935,-168.0811180
28977,AK,Chefornak,+60.1512201,-164.2513642
28973,AK,Juneau,+58.3729099,-134.1784454
28975,AK,Aniak,+61.5780349,-159.5287538
28974,AK,Akiak,+60.9099817,-161.2163759
28988,AK,Platinum,+58.9512779,-161.7474913
28984,AK,Napakiak,+60.6829284,-161.9987788
28982,AK,Lower Kalskag,+61.5158128,-160.3576352
28981,AK,Kwethluk,+60.7910702,-161.4267765
28979,AK,Eek,+60.2140502,-162.0304829
28978,AK,Chuathbaluk,+61.5755393,-159.2470699
28983,AK,Mekoryuk,+60.3707305,-166.2669870
29065,AK,Newhalen,+59.7370323,-154.9007899
28998,AK,Kotzebue,+66.8704517,-162.5114473
28999,AK,Noorvik,+66.8271823,-161.0292030
28987,AK,Nunapitchuk,+60.8824661,-162.4636368
28986,AK,Nightmute,+60.4642368,-164.8360997
28993,AK,Buckland,+65.9758856,-161.1387323
28985,AK,Napaskiak,+60.6975633,-161.7489157
28958,AK,Holy Cross,+62.1870163,-159.8560682
29005,AK,Ekwok,+59.3456639,-157.4880056
28997,AK,Kobuk,+66.9240917,-156.9046795
28994,AK,Deering,+66.0693133,-162.7686104
29082,AK,Eagle,+64.7801166,-141.1933195
28995,AK,Kiana,+66.9713218,-160.4376245
28996,AK,Kivalina,+67.7285793,-164.5396878
29067,AK,Pilot Point,+57.5436368,-157.7190163
29017,AK,Alakanuk,+62.7111604,-164.6447123
29002,AK,Aleknagik,+59.2889609,-158.6643428
29001,AK,Shungnak,+66.8870990,-157.1639581
29000,AK,Selawik,+66.5907512,-160.0012060
29228,AK,Tununak,+60.6070813,-165.1282939
29016,AK,Saxman,+55.3228201,-131.5889692
29003,AK,Clark's Point,+58.8333687,-158.5288099
29004,AK,Dillingham,+59.0549512,-158.5406572
29023,AK,Barrow,+71.2534997,-156.8000715
29006,AK,Manokotak,+59.0037852,-158.9952357
29009,AK,Akhiok,+56.9495732,-154.2142750
29008,AK,Togiak,+59.0406156,-160.4314761
29018,AK,Chevak,+61.5310657,-165.5971990
29007,AK,New Stuyahok,+59.4855519,-157.3081257
29022,AK,Atqasuk,+70.4807859,-157.3254592
29227,AK,Mertarvik,+60.8109933,-164.4991100
29010,AK,Kodiak,+57.7923169,-152.4040066
29012,AK,Old Harbor,+57.2200412,-153.3304850
29011,AK,Larsen Bay,+57.5509645,-154.0049024
29015,AK,Ketchikan,+55.3572096,-131.6748942
29229,AK,Tuntutuliak,+60.4103316,-162.6696463
29043,AK,St. Michael,+63.4738303,-162.1223696
29014,AK,Port Lions,+57.8776128,-152.8658077
29033,AK,Point Hope,+68.3437315,-166.6693685
29013,AK,Ouzinkie,+57.9250582,-152.4616558
29026,AK,Mountain Village,+62.0944476,-163.7153392
29019,AK,Emmonak,+62.7854819,-164.5672761
29028,AK,Pilot Station,+61.9466541,-162.8782967
29021,AK,Anaktuvuk Pass,+68.1549323,-151.7052005
29020,AK,Hooper Bay,+61.5363829,-166.1228865
29027,AK,Nunam Iqua,+62.5065349,-164.9003839
28971,AK,Palmer,+61.5973690,-149.1147635
29025,AK,Marshall,+61.8811762,-162.0609233
29024,AK,Kotlik,+63.0287517,-163.5357265
29042,AK,Nome,+64.5057356,-165.4153072
29040,AK,Scammon Bay,+61.8426245,-165.5832658
29230,AK,Tuluksak,+61.1042731,-160.9375722
29039,AK,Golovin,+64.5636669,-163.0010031
29034,AK,Wainwright,+70.6500608,-159.9971608
29231,AK,Stony River,+61.7930809,-156.5869665
29037,AK,Elim,+64.6183851,-162.2733864
29036,AK,Diomede,+65.7537691,-168.9231512
29035,AK,Brevig Mission,+65.3439200,-166.5084927
29066,AK,Nondalton,+59.9765566,-154.8639208
29044,AK,Savoonga,+63.6807655,-170.4827819
29041,AK,Koyuk,+64.9396069,-161.1512723
29081,AK,Delta Junction,+64.0602627,-145.6935287
29075,AK,Atka,+52.2130911,-174.2156430
29049,AK,Unalakleet,+63.8933067,-160.7966449
29235,AK,Noatak,+67.5894974,-163.0103322
29045,AK,Shaktoolik,+64.3590858,-161.2011001
29233,AK,Red Devil,+61.7575614,-157.3584514
29232,AK,Sleetmute,+61.6538615,-157.1030202
29051,AK,White Mountain,+64.6818305,-163.4119280
29236,AK,Koliganek,+59.6966699,-157.2248658
29047,AK,Stebbins,+63.4346061,-162.2776657
29046,AK,Shishmaref,+66.2349991,-166.1191387
29048,AK,Teller,+65.2515930,-166.3509284
28959,AK,Hughes,+66.0447220,-154.2371753
29053,AK,Cold Bay,+55.2157518,-162.7759451
29237,AK,Portage Creek,+58.9049084,-157.6690522
29055,AK,King Cove,+55.0768090,-162.3211231
29052,AK,Akutan,+54.1381957,-165.7908096
29054,AK,False Pass,+54.8724411,-163.3342679
29248,AK,Port Clarence,+65.1091167,-166.7644574
29238,AK,Twin Hills,+59.1002546,-160.3091264
29087,AK,Whitestone Logging Camp,+58.0653797,-135.4204774
29088,AK,Chenega,+60.0919025,-147.9946930
29086,AK,Klukwan,+59.3997662,-135.8868771
29247,AK,Pitkas Point,+62.0373931,-163.2668218
29246,AK,Point Lay,+69.7371312,-162.8352100
29058,AK,Craig,+55.4882325,-133.1110690
29057,AK,Coffman Cove,+56.0015949,-132.8422492
29240,AK,Loring,+55.6066405,-131.6399569
29056,AK,Sand Point,+55.3133757,-160.4835975
29060,AK,Kasaan,+55.5612946,-132.4066184
29242,AK,Karluk,+57.5903758,-154.3649485
29059,AK,Hydaburg,+55.2041202,-132.8183410
29245,AK,Prudhoe Bay,+70.3662097,-148.7455286
29244,AK,Aleneva,+58.0590451,-152.9090080
29258,AK,Edna Bay,+55.9712116,-133.6958613
29076,AK,St. George,+56.5705187,-169.5986811
29062,AK,Thorne Bay,+55.6671548,-132.5356053
29061,AK,Klawock,+55.5538520,-133.0877413
29074,AK,Sitka,+57.1932044,-135.3673965
29070,AK,Kake,+56.9776983,-133.9043928
29063,AK,Chignik,+56.2943551,-158.3956436
29069,AK,Wrangell,+56.2791206,-132.0403255
29073,AK,Port Alexander,+56.2352180,-134.6534985
29071,AK,Kupreanof,+56.8212946,-132.9721517
29072,AK,Petersburg,+56.7632089,-132.8757405
29112,AK,Ferry,+64.0496203,-148.9206018
29111,AK,Healy,+63.9596213,-148.9708103
29102,AK,Silver Springs,+62.0187656,-145.3548544
29078,AK,Unalaska,+53.9133120,-166.5250798
29077,AK,St. Paul,+57.1790411,-170.3250684
29103,AK,Slana,+62.6316822,-143.5948389
29104,AK,Tatitlek,+60.8938756,-146.6699217
29116,AK,Beluga,+61.1910307,-151.1843785
29110,AK,McKinley Park,+63.5728669,-148.6734379
29115,AK,Bear Creek,+60.2143728,-149.3680098
28970,AK,Wasilla,+61.5752398,-149.4568398
29079,AK,Adak,+51.8401822,-176.5660013
29114,AK,Anchor Point,+59.7473639,-151.6956971
29113,AK,Cantwell,+63.3864347,-148.8031379
29080,AK,Anchorage,+61.1742503,-149.2843294
3378,AL,Geiger,+32.8687150,-088.3181540
3493,AL,Harpersville,+33.3177254,-086.4284310
3503,AL,Gordo,+33.3222863,-087.9036812
3492,AL,Columbiana,+33.1968866,-086.6046951
3449,AL,Fort Deposit,+31.9862606,-086.5663586
3312,AL,Pennington,+32.2069595,-088.0557768
3456,AL,Camp Hill,+32.7978364,-085.6559842
3498,AL,Wilsonville,+33.2354112,-086.4867287
3470,AL,Talladega Springs,+33.1204519,-086.4377611
3496,AL,Pelham,+33.3218992,-086.7421768
3471,AL,Waldo,+33.3869542,-086.0407276
3495,AL,Montevallo,+33.1258685,-086.8469236
3143,AL,Black,+31.0102492,-085.7427913
3497,AL,Westover,+33.3746417,-086.5381250
3144,AL,Coffee Springs,+31.1658359,-085.9108977
3314,AL,Toxey,+31.9107117,-088.3091460
3148,AL,Samson,+31.1124171,-086.0467350
3375,AL,Emelle,+32.7286776,-088.3164862
3149,AL,Slocomb,+31.1121217,-085.5986631
3376,AL,Epes,+32.6912486,-088.1268518
3150,AL,Addison,+34.2026888,-087.1779008
3377,AL,Gainesville,+32.8149340,-088.1607913
3151,AL,Arley,+34.0763533,-087.2192980
3225,AL,Fulton,+31.7909894,-087.7442119
3226,AL,Grove Hill,+31.7022938,-087.7738448
3369,AL,Sweet Water,+32.1049031,-087.8611846
3325,AL,Valley Head,+34.5561714,-085.6228821
3406,AL,Grimes,+31.2998565,-085.4502922
3476,AL,Lake View,+33.2816962,-087.1413000
3374,AL,Cuba,+32.4407329,-088.3747980
3479,AL,Tuscaloosa,+33.2330833,-087.5257979
3508,AL,Union,+32.9938104,-087.9071786
3480,AL,Akron,+32.8794167,-087.7417572
3373,AL,Valley Grande,+32.4868717,-087.0327731
3522,AL,Bucks,+31.0169113,-088.0263929
3372,AL,Selma,+32.4170205,-087.0357918
3523,AL,Movico,+31.0627634,-088.0266191
3371,AL,Orrville,+32.3067685,-087.2454472
3504,AL,McMullen,+33.1481044,-088.1757361
3490,AL,Alabaster,+33.2143550,-086.8230801
3435,AL,Town Creek,+34.6713014,-087.4077629
3370,AL,Thomaston,+32.2682775,-087.6237059
3381,AL,Camden,+31.9988157,-087.2897745
3491,AL,Chelsea,+33.3248068,-086.6340251
3382,AL,Oak Hill,+31.9216196,-087.0852344
3494,AL,Indian Springs Village,+33.3611888,-086.7470188
3383,AL,Pine Apple,+31.8721548,-086.9890587
3436,AL,Brantley,+31.5819924,-086.2567836
3083,AL,Phil Campbell,+34.3515389,-087.7063189
3086,AL,Vina,+34.3761752,-088.0605721
3087,AL,Argo,+33.6911323,-086.5054364
3088,AL,Leeds,+33.5413334,-086.5620585
3089,AL,Trussville,+33.6407396,-086.5801350
3103,AL,Monroeville,+31.5162233,-087.3277136
3104,AL,Vredenburgh,+31.8232411,-087.3180586
3105,AL,Anniston,+33.6734405,-085.8109178
3106,AL,Glencoe,+33.9393885,-085.9343128
3165,AL,Nectar,+33.9797787,-086.6206144
3172,AL,Ardmore,+34.9878047,-086.8287637
3173,AL,Athens,+34.7790209,-086.9507986
3174,AL,Elkmont,+34.9326041,-086.9769708
3175,AL,Lester,+34.9827514,-087.1555347
3176,AL,Mooresville,+34.6269637,-086.8799966
3181,AL,Autaugaville,+32.4325631,-086.6587521
3182,AL,Billingsley,+32.6605195,-086.7097070
3183,AL,Adamsville,+33.6057505,-086.9746501
3184,AL,Bessemer,+33.3708243,-086.9715039
3392,AL,Gu-Win,+33.9443187,-087.8703679
3393,AL,Winfield,+33.9315607,-087.7918740
3394,AL,Millbrook,+32.5020542,-086.3744557
3395,AL,Prattville,+32.4619080,-086.4573850
3227,AL,Jackson,+31.5323206,-087.8911826
3234,AL,Heath,+31.3448385,-086.4690503
3505,AL,Memphis,+33.1370440,-088.3059420
3066,AL,Notasulga,+32.5554093,-085.6685772
3067,AL,Shorter,+32.4115091,-085.9727564
3068,AL,Tuskegee,+32.4182088,-085.6733140
3069,AL,Bayou La Batre,+30.4075860,-088.2632709
3070,AL,Chickasaw,+30.7714495,-088.0796971
3107,AL,Hobson City,+33.6188012,-085.8461462
3108,AL,Jacksonville,+33.8062138,-085.7582878
3109,AL,Ohatchee,+33.7897599,-086.0290667
3110,AL,Southside,+33.8908407,-086.0180201
3071,AL,Citronelle,+31.0972292,-088.2496777
3072,AL,Creola,+30.8741559,-088.0094179
3120,AL,Columbia,+31.2953514,-085.1102016
3073,AL,Dauphin Island,+30.2482258,-088.1892163
3074,AL,Mobile,+30.6684260,-088.1002261
3121,AL,Cottonwood,+31.0540333,-085.2995597
3075,AL,Mount Vernon,+31.0879396,-088.0134500
3076,AL,Prichard,+30.7730948,-088.1307206
3077,AL,Saraland,+30.8315847,-088.0941173
3078,AL,Satsuma,+30.8578741,-088.0633829
3082,AL,Hodges,+34.3342457,-087.9231597
3122,AL,Cowarts,+31.2062481,-085.3097690
3117,AL,Taylor,+31.1687567,-085.4758080
3118,AL,Ashford,+31.1852844,-085.2362356
3119,AL,Avon,+31.1797269,-085.2792111
3446,AL,Waverly,+32.7301039,-085.5710318
3065,AL,Franklin,+32.4530270,-085.8088543
3057,AL,Clio,+31.7085157,-085.6110391
3058,AL,Eufaula,+31.9100408,-085.1525559
3059,AL,Louisville,+31.7810467,-085.5583357
3060,AL,Bakerhill,+31.7769227,-085.2954084
3061,AL,Blue Springs,+31.6635156,-085.5035265
3062,AL,Clayton,+31.8824145,-085.4605406
3063,AL,Hurtsboro,+32.2400898,-085.4146703
3064,AL,Phenix City,+32.4616695,-085.0250208
3079,AL,Elba,+31.4173133,-086.0771887
3080,AL,Kinston,+31.2196038,-086.1700752
3081,AL,New Brockton,+31.3677231,-085.9251800
3084,AL,Red Bay,+34.4364190,-088.1364545
3085,AL,Russellville,+34.5057374,-087.7281916
3090,AL,Ashville,+33.8361599,-086.2716670
3091,AL,Margaret,+33.6709741,-086.4676088
3092,AL,Moody,+33.6034259,-086.4937889
3093,AL,Odenville,+33.7008754,-086.4233712
3094,AL,Pell City,+33.5607762,-086.2687904
3095,AL,Ragland,+33.7469483,-086.1393290
3096,AL,Riverside,+33.6163941,-086.2043575
3097,AL,Springville,+33.7447204,-086.4888166
3123,AL,Gordon,+31.1438041,-085.0934183
3098,AL,Steele,+33.9413780,-086.1921066
3099,AL,Vincent,+33.3819080,-086.4016069
3100,AL,Beatrice,+31.7333092,-087.2090464
3101,AL,Excel,+31.4263861,-087.3436633
3102,AL,Frisco City,+31.4394850,-087.4041818
3111,AL,Weaver,+33.7625800,-085.8130777
3112,AL,Auburn,+32.6077220,-085.4895446
3113,AL,Loachapoka,+32.6079461,-085.5984790
3114,AL,Opelika,+32.6607385,-085.3788898
3115,AL,Smiths Station,+32.5346624,-085.1113405
3116,AL,Dothan,+31.2336983,-085.4068225
3124,AL,Kinsey,+31.2926618,-085.3354729
3125,AL,Madrid,+31.0357714,-085.3978454
3126,AL,Rehobeth,+31.1245953,-085.4397997
3129,AL,Nauvoo,+33.9869899,-087.4886398
3127,AL,Webb,+31.2576050,-085.2893794
3128,AL,Sumiton,+33.7496538,-087.0471263
3130,AL,Carbon Hill,+33.8949910,-087.5220778
3137,AL,Parrish,+33.7323211,-087.2801272
3131,AL,Cordova,+33.7612922,-087.2010989
3132,AL,Dora,+33.7297026,-087.0838738
3133,AL,Eldridge,+33.9220177,-087.6201082
3134,AL,Jasper,+33.8560368,-087.2702701
3135,AL,Kansas,+33.9028076,-087.5565979
3136,AL,Oakman,+33.7143223,-087.3886989
3139,AL,McKenzie,+31.5464695,-086.7259543
3140,AL,Castleberry,+31.2996776,-087.0291291
3141,AL,Evergreen,+31.4429970,-086.9599040
3142,AL,Repton,+31.4097164,-087.2389310
3145,AL,Geneva,+31.0448857,-085.8768180
3146,AL,Hartford,+31.1053477,-085.6912249
3155,AL,County Line,+33.8208935,-086.7197340
3147,AL,Malvern,+31.1436979,-085.5229729
3152,AL,Double Springs,+34.1504286,-087.4024270
3153,AL,Lynn,+34.0575918,-087.5486387
3154,AL,Natural Bridge,+34.0903535,-087.6014087
3161,AL,Garden City,+34.0159707,-086.7511580
3156,AL,Trafford,+33.8194838,-086.7465715
3157,AL,Allgood,+33.9076226,-086.5161092
3162,AL,Hayden,+33.8931784,-086.7455515
3158,AL,Altoona,+34.0392181,-086.3056714
3159,AL,Blountsville,+34.0756778,-086.5836791
3160,AL,Cleveland,+33.9999799,-086.5631172
3163,AL,Highland Lake,+33.8896778,-086.4227596
3164,AL,Locust Fork,+33.8767404,-086.6470522
3166,AL,Oneonta,+33.9467738,-086.4905173
3620,AL,Macedonia,+33.4031390,-088.2392210
3167,AL,Rosa,+33.9927555,-086.5003250
3168,AL,Snead,+34.1197955,-086.3895359
3169,AL,Susan Moore,+34.0921776,-086.4342419
3170,AL,Huntsville,+34.6990132,-086.6729804
3171,AL,Madison,+34.7105329,-086.7622802
3177,AL,Marion,+32.6319677,-087.3173332
3178,AL,Uniontown,+32.4476410,-087.5094603
3179,AL,Midway,+32.0763726,-085.5244171
3180,AL,Union Springs,+32.1395058,-085.7146227
3621,AL,Sterrett,+33.4421979,-086.4610447
3622,AL,Shelby,+33.1068820,-086.5854028
