position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
wr,"Virginia Beach, Virginia",Landstown,78,188,4.4,5,6.1,1,Florida,Percy Harvin,2006
qb,"Dallas, Texas",Highland Park,78,210,4.7,5,6.1,1,Georgia,Matthew Stafford,2006
ol,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,302,4.9,5,6.1,1,Notre Dame,Sam Young,2006
ol,"Birmingham, Alabama",Huffman,78,325,5.2,5,6.1,1,Alabama,Andre Smith,2006
db,"Pomfret, Maryland",McDonough,78,195,4.4,5,6.1,1,Penn State,A.J. Wallace,2006
lb,"Colton, California",Colton,65,219,4.5,5,6.1,1,USC,Allen Bradford,2006
rb,"Lake Butler, Florida",Union County,65,190,4.4,5,6.1,1,Clemson,C.J. Spiller,2006
te,"Ardmore, Oklahoma","",78,230,4.6,4,6.0,1,Oklahoma,Jermaine Gresham,2006
rb,"Richmond, Virginia",Varina,78,213,4.8,4,5.8,1,Michigan,Brandon Minor,2006
de,"Cleveland, Ohio",Glenville Academic Campus,78,255,4.7,5,6.1,1,Ohio State,Robert Rose,2006
de,"Bamberg, South Carolina",Bamberg-Ehrhardt,78,225,4.5,5,6.1,1,Clemson,Ricky Sapp,2006
dt,"Oklahoma City, Oklahoma",Southeast,78,305,4.9,5,6.1,1,Oklahoma,Gerald McCoy,2006
db,"Atlanta, Georgia",Booker T. Washington,78,173,4.6,5,6.1,1,Georgia,Reshad Jones,2006
qb,"Ponte Vedra Beach, Florida",Nease,78,217,4.7,5,6.1,1,Florida,Tim Tebow,2006
rb,"Akron, Ohio",Garfield High School,78,228,4.5,5,6.1,1,Ohio State,Chris Wells,2006
lb,"Dallas, Texas",Woodrow Wilson,78,225,4.5,5,6.1,1,Texas,Sergio Kindle,2006
ath,"Princeton, New Jersey",The Hun School,78,214,4.5,5,6.1,1,Florida State,Myron Rolle,2006
ol,"Pickerington, Ohio",North,78,319,5.2,4,6.0,1,Michigan,Justin Boren,2006
k,"Sherman Oaks, California",Notre Dame,78,175,4.7,3,5.5,1,UCLA,Kai Forbath,2006
lb,"Shelby, North Carolina",Crest,78,235,4.8,5,6.1,2,Florida,Brandon Spikes,2006
wr,"Chatham, Virginia",Hargrave Military Academy,78,193,4.5,5,6.1,2,USC,Vidal Hazelton,2006
rb,"Las Vegas, Nevada",Bishop Gorman,78,183,4.5,4,6.0,2,Oklahoma,Demarco Murray,2006
ol,"Tampa, Florida",Jefferson,78,310,5.8,4,6.0,2,Florida State,Daron Rose,2006
te,"Oakland, California",McClymonds,78,247,4.6,4,5.9,2,Georgia,NaDerris Ward,2006
qb,"Chicago, Illinois",Morgan Park,78,192,4.5,4,6.0,2,Notre Dame,Demetrius Jones,2006
qb,"Springdale, Arkansas",Springdale,78,208,4.6,5,6.1,2,Arkansas,Mitch Mustain,2006
de,"Alcoa, Tennessee",Alcoa,78,230,4.8,5,6.1,2,Florida State,Brandon Warren,2006
lb,"Detroit, Michigan",Crockett,78,250,4.6,5,6.1,2,Michigan,Brandon Graham,2006
db,"Camden, New Jersey",Wilson,78,199,4.5,4,6.0,2,USC,Antwine Perez,2006
rb,"Los Angeles, California",Dorsey,65,200,4.4,5,6.1,2,USC,Stafon Johnson,2006
ath,"Seattle, Washington",O'Dea,78,218,4.6,5,6.1,2,USC,Taylor Mays,2006
db,"Colton, California",Colton,65,180,4.5,4,6.0,2,USC,Shareece Wright,2006
de,"Ft. Campbell, Kentucky","",78,267,4.7,4,6.0,2,Kentucky,Micah Johnson,2006
k,"Boerne, Texas","",78,180,4.9,3,5.5,2,Texas,Hunter Lawrence,2006
ol,"Homewood, Alabama",Homewood,78,295,5.3,4,5.8,2,Alabama,David Ross,2006
rb,"Doylestown, Pennsylvania",Central Bucks West,78,240,4.6,4,5.8,2,Duke,Brandon King,2006
dt,"Elton, Louisiana",Elton,78,329,5.1,5,6.1,2,LSU,Al Woods,2006
ol,"Bellevue, Washington",Bellevue,78,290,4.9,5,6.1,2,Michigan,Stephen Schilling,2006
ol,"Durham, North Carolina",Southern High,78,348,5.3,5,6.1,3,Florida,Carl Johnson,2006
rb,"Longview, Texas","",65,190,4.4,4,6.0,3,Texas,Vondrell McGee,2006
db,"Pittsburgh, Pennsylvania",Woodland Hills,78,172,4.4,4,6.0,3,Notre Dame,Darrin Walls,2006
qb,"Stephenville, Texas",Stephenville,78,205,4.6,4,6.0,3,Texas,Jevan Snead,2006
te,"Mission Viejo, California",Mission Viejo,78,239,4.8,4,5.9,3,Notre Dame,Konrad Reuland,2006
qb,"Chicago, Illinois",Chicago Vocational,78,207,4.8,4,5.9,3,Illinois,Isiah Williams,2006
lb,"Stone Mountain, Georgia",Stephenson,78,204,4.5,4,6.0,3,Florida State,Marcus Ball,2006
ath,"Sylmar, California",Sylmar,65,180,4.6,5,6.1,3,USC,C.J. Gable,2006
lb,"Oakland, California",McClymonds,78,219,4.7,4,6.0,3,USC,Joshua Tatum,2006
db,"Venice, California",Venice,78,212,4.5,4,6.0,3,Michigan,Jonas Mouton,2006
ol,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,280,5.2,4,5.8,3,Notre Dame,Daniel Wenger,2006
rb,"Salt Lake, Utah",Cottonwood Senior,78,208,4.5,4,5.8,3,USC,Stanley Havili,2006
de,"Kilgore, Texas",Kilgore,78,240,4.7,5,6.1,3,Texas,Eddie Jones,2006
wr,"Irving, Texas",Irving,78,200,4.4,4,6.0,3,Oklahoma,Adron Tennell,2006
dt,"Lebanon, Pennsylvania",Lebanon,78,303,5.0,4,6.0,3,Penn State,Jared Odrick,2006
de,"Middle Village, New York",Christ The King,78,245,4.8,4,6.0,3,Penn State,Maurice Evans,2006
ol,"Mesquite, Texas",North Mesquite,78,285,,4,6.0,3,Texas,J'Marcus Webb,2006
k,"Greer, South Carolina",Riverside,65,185,4.7,3,5.5,3,Clemson,Richard Jackson,2006
rb,"Crown Point, Indiana",Merrillville,78,215,4.5,5,6.1,3,Notre Dame,James Aldridge,2006
wr,"Homewood, Alabama",Homewood,78,199,4.5,4,6.0,4,Auburn,Tim Hawthorne,2006
rb,"Klein, Texas",Klein Collins,78,205,4.4,4,6.0,4,Texas A&M,Michael Goodson,2006
rb,"Lumberton, Mississippi",Lumberton,65,180,4.5,4,5.9,4,Alabama,Terry Grant,2006
ol,"Cincinnati, Ohio",Colerain,78,300,5.1,4,6.0,4,Ohio State,Connor Smith,2006
ol,"Lancaster, California",Paraclete,78,261,5.1,4,5.8,4,UCLA,Jake Dean,2006
ath,"Woodland Hills, California",Taft,78,175,4.4,4,6.0,4,USC,Jamere Holland,2006
lb,"Gaithersburg, Maryland",Good Counsel,78,195,4.4,4,6.0,4,Georgia,Akeem Hebron,2006
de,"Birmingham, Alabama",West End,78,245,4.7,4,6.0,4,Louisville,Deantwan Whitehead,2006
qb,"Ferndale, Washington",Ferndale,78,210,4.7,4,6.0,4,Washington,Jake Locker,2006
db,"Miami, Florida",Monsignor Pace,78,211,4.5,4,6.0,4,Miami (FL),Tervaris Johnson,2006
lb,"Tallahassee, Florida",North Florida Christian,78,211,4.5,4,5.9,4,Florida State,Marcus Sims,2006
db,"Houston, Texas",North Shore,78,175,4.4,4,6.0,4,Texas,Chykie Brown,2006
te,"Minneapolis, Minnesota",Breck,78,230,4.7,4,5.9,4,Boston College,Jordon McMichael,2006
dt,"Aurora, Colorado",Regis Jesuit,78,280,4.9,4,6.0,4,USC,Butch Lewis,2006
qb,"Grandview, Missouri","",78,231,4.8,4,5.9,4,Kansas State,Josh Freeman,2006
ol,"Sturgeon Bay, Wisconsin","",78,270,5.1,4,5.9,4,Wisconsin,Jake Bscherer,2006
de,"Stone Mountain, Georgia",Stephenson,78,196,4.7,4,5.9,4,Florida,Jermaine Cunningham,2006
k,"Ft. Lauderdale, Florida",St. Thomas Aquinas,65,165,,3,5.5,4,Michigan State,Brett Swenson,2006
rb,"Jasper, Indiana","",78,230,4.6,3,5.7,4,Notre Dame,Luke Schmidt,2006
ol,"Forestville, Maryland",Forestville High,78,307,5.1,4,6.0,5,Penn State,Antonio Logan-El,2006
ath,"Tampa, Florida",Hillsborough,78,184,4.3,4,6.0,5,Florida,Jarred Fayson,2006
ol,"St. Paul, Minnesota",Cretin-Derham Hall,78,280,5.3,4,5.9,5,Notre Dame,Matt Carufel,2006
wr,"Lemoore, California",Lemoore,78,213,4.6,4,6.0,5,USC,David Ausberry,2006
db,"Los Angeles, California",Crenshaw,65,180,4.6,4,5.9,5,California,Darian Hagan,2006
de,"Fairfield, California",Armijo,78,268,5.1,4,6.0,5,USC,Derek Simmons,2006
dt,"Oakland, California",McClymonds,78,278,5.5,4,6.0,5,California,Derrick Hill,2006
rb,"Mission Viejo, California",Mission Viejo,78,240,4.8,3,5.7,5,UCLA,Chane Moline,2006
