position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
rb,"Jacksonville, Florida",Fletcher,78,210,4.4,5,,1,Florida,Ciatrick Fason,2002
ol,"McKinney, Texas","",78,305,5.2,4,,1,Notre Dame,Bobby Morton,2002
ath,"Lufkin, Texas",Lufkin,78,210,4.3,5,,1,Texas A&M,Reggie McNeal,2002
ol,"Plano, Texas",Plano East,78,325,5.0,5,,1,Texas,Justin Blalock,2002
qb,"Houston, Texas",Madison,78,195,4.4,5,,1,Texas,Vincent Young,2002
dt,"Salt Lake City, Utah",Highlands,78,310,4.8,5,,1,Oregon,Haloti Ngata,2002
te,"Long Beach, California",Poly,78,233,4.7,5,,1,UCLA,Marcedes Lewis,2002
db,"Clarksdale, Mississippi","",78,205,4.4,5,,1,Mississippi State,Darren Williams,2002
lb,"Greenwood, South Carolina","",78,235,4.5,5,,1,South Carolina,Ricardo Hurley,2002
de,"Virginia Beach, Virginia",Princess Anne,78,230,4.6,5,,,Virginia,Kai Parham,2002
ol,"Bakersfield, California",East,78,305,5.1,5,,1,Washington,Nathan Rhodes,2002
lb,"Woodbridge, Virginia",C. D. Hylton,78,230,4.6,5,,1,Virginia,Ahmad Brooks,2002
rb,"Ventura, California",St. Bonaventure,65,178,4.4,5,,,Florida State,Lorenzo Booker,2002
rb,"Warren, Ohio",Harding,78,230,4.5,5,,1,Ohio State,Maurice Clarett,2002
wr,"Orlando, Florida",Dr. Phillips,78,188,4.4,5,,1,Miami (FL),Ryan Moore,2002
db,"Jacksonville, Florida",Andrew Jackson,65,180,4.3,5,,1,Florida State,Leon Washington,2002
k,"Hendersonville, Tennessee","",78,180,,4,,1,Tennessee,James Wilhoit,2002
k,"Plano, Texas",West,65,180,4.9,4,,2,Texas A&M,Todd Pegram,2002
te,"Midland, Texas",Tyler Lee,78,255,4.8,4,,2,Miami (FL),Eric Winston,2002
dt,"Alief, Texas",Hastings,78,330,5.0,5,,2,Texas,Rodrique Wright,2002
ol,"Santa Ana, California",Mater Dei,78,285,5.0,4,,2,USC,Chris Doyle,2002
ol,"Shelby, North Carolina",Crest,78,265,4.9,5,,2,Tennessee,Brandon Jeffries,2002
qb,"Los Gatos, California","",78,190,4.7,5,,2,Stanford,Trent Edwards,2002
rb,"Chattanooga, Tennessee",Red Bank,78,220,4.5,5,,2,Tennessee,Gerald Riggs Jr.,2002
rb,"Newport News, Virginia",Heritage,65,180,4.3,5,,,Virginia,Michael Johnson,2002
qb,"Newport News, Virginia",Warwick,78,185,4.4,5,,2,Virginia Tech,Marcus Vick,2002
db,"Tallahassee, Florida",Lincoln,78,190,4.5,5,,2,Florida State,Pat Watkins,2002
rb,"St. Louis, Missouri",Hazelwood East,78,220,4.4,4,,2,Michigan State,David Richard,2002
db,"Riviera Beach, Florida",Suncoast,65,180,4.3,5,,2,Miami (FL),Devin Hester,2002
de,"College Park, Georgia",Woodward Academy,78,230,4.7,4,,,Stanford,Julian Jenkins,2002
