stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt,name,lat,lon
Glass Bowl,Toledo,OH,Toledo,MAC,26248,36852,1937,1990,19044,39,77000,"",Toledo,-83.5835271171745,41.664835495753
Heinz Field,Pittsburgh,PA,Pittsburgh,ACC,65050,66731,2001,,26136,42,61000,"",Pittsburgh,-79.9762615100645,40.4396297531515
High Point Solutions Stadium,Piscataway,NJ,Rutgers,American,52454,53737,1994,2009,22952,34,51210,"",New Brunswick,-74.4449934789738,40.4869920442859
Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Western Kentucky,Sun Belt,22000,22297,1968,2008,14319,21,8902,"",Bowling Green,-86.4375330868175,36.9722475999877
Husky Stadium,Seattle,WA,Washington,Pac-12,72500,76125,1920,1987,2639,53,63000,"",Seattle,-122.333187539479,47.6210290356628
Jack Trice Stadium,Ames,IA,Iowa State,Big 12,55000,56800,1975,2008,13174,19,1855,"",Ames,-93.6269893591293,42.0254639052309
Jim Wacker Field at Bobcat Stadium,San Marcos,TX,Texas State,Sun Belt,30000,33006,1981,2012,6883,48,65600,"",San Marcos,-97.9310036237961,29.8766643965638
Joan C. Edwards Stadium,Huntington,WV,Marshall,C-USA,38019,41382,1991,2000,28681,54,39460,"",Huntington,-82.434586567584,38.4108878479961
Joe Aillet Stadium,Ruston,LA,Louisiana Tech,C-USA,30600,28714,1968,1989,4626,22,66655,"",Ruston,-92.6364981616476,32.5328372340147
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,C-USA,31000,30502,1933,1998,20046,47,51560,Middle Tennessee State,Murfreesboro,-86.4086733506923,35.8507826454015
Jones AT&T Stadium,Lubbock,TX,Texas Tech,Big 12,60862,60879,1947,2013,6691,48,45000,"",Lubbock,-101.886335660514,33.5666251134945
Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,87451,87451,1939,2004,3112,1,3076,"",Auburn,-85.4897170721964,32.6084642091257
Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,30199,30302,1972,1997,15137,26,56020,"",Mount Pleasant,-84.775757650078,43.5965637793836
Kenan Memorial Stadium,Chapel Hill,NC,North Carolina,ACC,62980,62000,1927,2011,24658,37,11800,"",Chapel Hill,-79.0385952571901,35.9269415338483
Kibbie Dome,Moscow,ID,Idaho,Independent,16000,17600,1975,,1874,16,54550,"",Moscow,-116.998988443762,46.7306063679776
Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,70585,70585,1929,2006,13064,19,38595,"",Iowa City,-91.5305897317142,41.655785074614
Kyle Field,College Station,TX,Texas A&M,SEC,82589,90079,1927,2007,6132,48,15976,"",College Station,-96.2957964863652,30.5866549612322
Ladd Peebles Stadium,Mobile,AL,South Alabama,Sun Belt,40646,26783,1948,2009,3074,1,50000,"",Mobile,-88.1199244235991,30.6767209215264
Lane Stadium,Blacksburg,VA,Virginia Tech,ACC,66233,66233,1965,2005,28137,51,7784,"",Blacksburg,-80.4276855786503,37.229945832372
LaVell Edwards Stadium,Provo,UT,BYU,Independent,63725,66247,1964,1982,20327,49,62470,Brigham Young,Provo,-111.645715852267,40.2457185295863
Legion Field,Birmingham,AL,UAB,C-USA,71594,44669,1926,1991,3483,1,7000,"",Birmingham,-86.7988137611707,33.5275697987521
Liberty Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,31243,1974,2002,9971,5,35710,"",Jonesboro,-90.6794991660617,35.8208121537089
Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,American,62380,65885,1965,1987,5981,47,48000,"",Memphis,-89.9789060941234,35.1046294996226
Lincoln Financial Field,Philadelphia,PA,Temple,American,68532,69029,2003,,26900,42,60000,"",Philadelphia,-75.1339627017363,40.0076380532913
Los Angeles Memorial Coliseum,Los Angeles,CA,Southern California,Pac-12,93607,105236,1923,2008,546,6,44000,USC,Los Angeles,-118.408547209696,34.1183698269024
Mackay Stadium,Reno,NV,Nevada,Mountain West,29993,33391,1966,1992,1982,32,60600,"",Reno,-119.852705579115,39.5539375936049
Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,30427,31175,1978,1993,4431,22,51410,"",Monroe,-92.0774210775039,32.518216265099
Martin Stadium,Pullman,WA,Washington State,Pac-12,32248,40306,1972,2000,2549,53,56625,"",Pullman,-117.163452314176,46.7326698388306
Memorial Stadium,Clemson,SC,Clemson,ACC,81500,86092,1942,2006,9296,45,14950,"",Clemson,-82.8124377611251,34.6840582265008
Memorial Stadium,Champaign,IL,Illinois,Big Ten,60670,78297,1923,2011,10668,17,12385,"",Champaign,-88.2728773249149,40.1148737106968
Memorial Stadium,Bloomington,IN,Indiana,Big Ten,52959,56223,1960,2010,12257,18,5860,"",Bloomington,-86.525712422182,39.1637458276268
Memorial Stadium,Lawrence,KS,Kansas,Big 12,50071,52530,1921,1999,14040,20,38900,"",Lawrence,-95.2628259173359,38.9599303008108
Memorial Stadium,Lincoln,NE,Nebraska,Big Ten,87091,91471,1923,2013,17691,31,28000,"",Lincoln,-96.6806541429538,40.8095536390737
Mercedes-Benz Superdome,New Orleans,LA,Tulane,C-USA,69703,79651,1975,2006,4639,22,55000,"",New Orleans,-89.9161382364372,30.0283558689024
Blaik Field at Michie Stadium,West Point,NY,Army,Independent,38000,42765,1924,2001,24322,36,80747,"",West Point,-74.013921627907,41.3645158494239
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,109901,115109,1927,2010,14961,26,3000,"",Ann Arbor,-83.7311437743066,42.2756814226425
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,60000,70222,1980,2004,28584,54,55756,"",Morgantown,-79.9463573070938,39.6377407542909
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,Independent,34000,37970,1959,2005,21918,24,1600,"",Annapolis,-76.5058873208302,38.9695557911377
Neyland Stadium,Knoxville,TN,Tennessee,SEC,102455,109061,1921,2009,27773,47,40000,"",Knoxville,-83.9495877482243,35.9690595075723
Nippert Stadium,Cincinnati,OH,Cincinnati,American,35097,36007,1924,2005,18785,39,15000,"",Cincinnati,-84.5060004450558,39.1411747122896
Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,80795,80795,1930,1997,12580,18,55386,"",Notre Dame,-86.2378152415929,41.7012343468942
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,102329,106102,1922,2001,25201,39,18000,"",Columbus,-82.9851806970651,39.9859631232037
Papa John's Cardinal Stadium,Louisville,KY,Louisville,American,56000,55386,1998,2010,14486,21,48006,"",Louisville/Jefferson County metro government (balance),-85.6664099995046,38.177768992113
Peden Stadium,Athens,OH,Ohio,MAC,24000,25893,1929,2001,25351,39,2736,"",Athens,-82.0988979599295,39.3268159783908
Qualcomm Stadium,San Diego,CA,San Diego State,Mountain West,70561,68537,1967,1997,327,6,66000,"",San Diego,-117.119767008216,32.8353727398142
Raymond James Stadium,Tampa,FL,USF,American,65857,71921,1998,,8009,12,71000,South Florida,Tampa,-82.444620617241,27.9970349610373
Reliant Stadium,Houston,TX,Houston,American,71054,,2002,,6453,48,35000,"",Houston,-95.3868271901284,29.7807807992079
"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,Arkansas,SEC,72000,76808,1938,2006,9894,5,23290,"",Fayetteville,-94.1659600609796,36.0712117368731
Rentschler Field,East Hartford,CT,Connecticut,American,40000,40000,2003,,21463,9,22700,"",East Hartford,-72.6152270571068,41.7634411434538
Reser Stadium,Corvallis,OR,Oregon State,Pac-12,45674,46469,1953,2005,2194,41,15800,"",Corvallis,-123.278324354959,44.5695899946056
Rice Stadium,Houston,TX,Rice,C-USA,47000,73000,1950,,6453,48,35000,"",Houston,-95.3868271901284,29.7807807992079
Rice-Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,45017,46768,1998,1998,20203,49,67000,"",Salt Lake City,-111.93122079129,40.7778489448458
M. M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,36000,36232,1932,2008,5007,28,31020,"",Hattiesburg,-89.3168113996598,31.3072768193706
Romney Stadium,Logan,UT,Utah State,Mountain West,25513,33119,1968,1980,20232,49,45860,"",Logan,-111.841830830337,41.7407977611881
Rose Bowl,Pasadena,CA,UCLA,Pac-12,92542,106869,1922,1949,558,6,56000,"",Pasadena,-118.138921642435,34.1597634846596
Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,62500,71629,1924,2006,12227,18,82862,"",West Lafayette,-86.9135888316212,40.4556565734656
Ryan Field,Evanston,IL,Northwestern,Big Ten,47130,55752,1926,1997,11039,17,24582,"",Evanston,-87.6940098848899,42.0463228581443
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,26188,1969,1992,14967,26,89140,"",Ypsilanti,-83.6207261000635,42.2436981047183
Sam Boyd Stadium,Whitney,NV,UNLV,Mountain West,36800,44615,1971,1999,2104,32,83800,"",Whitney,-115.038051432685,36.1004106203298
Sanford Stadium,Athens,GA,Georgia,SEC,92746,92746,1929,2004,8577,13,3440,"",Athens-Clarke County unified government (balance),-83.3689417421889,33.9508170657489
Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,23861,1967,2007,12075,18,51876,"",Muncie,-85.3942940108385,40.1987098311956
Scott Stadium,Charlottesville,VA,Virginia,ACC,61500,64947,1931,2000,27958,51,14968,"",Charlottesville,-78.4855727100689,38.0374240623968
Skelly Field at H. A. Chapman Stadium,Tulsa,OK,Tulsa,C-USA,35542,47350,1930,2005,19211,40,75000,"",Tulsa,-95.9036195659843,36.1284213260081
Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,Mountain West,34400,39107,1968,2006,10192,8,27425,"",Fort Collins,-105.06586581365,40.5487667248842
Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,75005,80401,1923,2005,14934,26,24120,"",East Lansing,-84.4834139374642,42.748380458519
Spartan Stadium,San Jose,CA,San Jose State,Mountain West,30456,31681,1933,1985,412,6,68000,"",San Jose,-121.847035688695,37.3004426645175
Stanford Stadium,Stanford,CA,Stanford,Pac-12,50000,51607,1921,2006,1429,6,73906,"",Stanford,-122.167364964286,37.4251509069582
Summa Field at InfoCision Stadium,Akron,OH,Akron,MAC,30000,27881,2009,,25157,39,1000,"",Akron,-81.521921341809,41.0801444875612
Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,51500,53415,1963,1981,6776,48,24000,"",El Paso,-106.432021198793,31.848099534562
"Sun Devil Stadium, Frank Kush Field",Tempe,AZ,Arizona State,Pac-12,71706,74963,1958,1998,29372,4,73000,"",Tempe,-111.931802320002,33.3882640595417
Sun Life Stadium,Miami Gardens,FL,Miami,ACC,75504,78468,1987,,7976,12,45060,Miami (FL),Miami Gardens,-80.2425332169676,25.9432633875689
TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,50805,50805,2009,,15700,27,43000,"",Minneapolis,-93.2678345303019,44.9635407913943
Tiger Stadium,Baton Rouge,LA,LSU,SEC,92542,93374,1924,2006,4388,22,5000,"",Baton Rouge,-91.1263552233634,30.4510891476594
University Stadium,Albuquerque,NM,New Mexico,Mountain West,39224,44760,1960,2007,5223,35,2000,"",Albuquerque,-106.647476272532,35.1055243312069
UB Stadium,Amherst,NY,Buffalo,MAC,29013,29795,1993,,23506,36,82084,"",Williamsville,-78.7417588857243,42.9623550719809
Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,39790,41448,1922,2004,19900,47,52006,"",Nashville-Davidson metropolitan government (balance),-86.7845944694525,36.171222990765
Vaught–Hemingway Stadium,Oxford,MS,Mississippi,SEC,60580,62657,1915,2002,5069,28,54840,"",Oxford,-89.5288763494473,34.3613306099898
Veterans Memorial Stadium,Troy,AL,Troy,Sun Belt,30000,26574,1950,2003,3516,1,76920,"",Troy,-85.9656126939522,31.8017773253208
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,36361,1939,2003,14974,26,42160,"",Kalamazoo,-85.5881885650829,42.2748756417615
Wallace Wade Stadium,Durham,NC,Duke,ACC,33941,57500,1929,,24659,37,19000,"",Durham,-78.9059028014547,35.980944051554
War Memorial Stadium,Laramie,WY,Wyoming,Mountain West,29181,34745,1950,2010,21215,56,45050,"",Laramie,-105.609578423731,41.3094720708902
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,80250,85199,1934,1996,9373,45,16000,"",Columbia,-80.9037852796526,34.0366069582959
Yager Stadium,Oxford,OH,Miami University,MAC,24286,30087,1983,2005,18847,39,59234,Miami (OH),Oxford,-84.7462019956987,39.5050741974664
